party	member_name	question	answer	comment
Laisvės partija	Agnė Gabrėnienė	1. Valstybė turėtų didinti mokesčius didesnes pajamas gaunantiems gyventojams, kad galėtų išplėsti socialinę paramą ir paslaugas	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	2. Valstybė turėtų kiek įmanoma mažiau kištis į ekonomiką	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	3. Įmonėms turi būti leidžiama lengvai atleisti darbuotojus	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	4. Laisva rinka užtikrina didesnį sveikatos paslaugų prieinamumą ir aukštesnę kokybę	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	5. Valstybė turėtų mažinti PVM pagrindiniams maisto produktams	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	6. Gyventojų pajamų mokestį visiems Lietuvos gyventojams reikia mažinti iki 15 proc	Visiškai sutinku	
Laisvės partija	Agnė Gabrėnienė	7. Mokyklų tinklas Lietuvoje turi būti mažinamas	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	8. Lietuvoje reikia didinti aplinkosaugos mokesčius	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	9. Marihuanos vartojimas laisvalaikio tikslais turi būti legalizuotas	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	10. Lietuvoje išduodamuose asmens dokumentuose turėtų būti leidžiama rašyti nelietuviško raidyno raides (pvz., „w“, „x“ ir „q“)	Visiškai sutinku	
Laisvės partija	Agnė Gabrėnienė	11. Tos pačios lyties asmenų poros turi turėti tokias pat teises tuoktis kaip ir heteroseksualios poros	Visiškai sutinku	Turi būti įteisinta partnerystė.
Laisvės partija	Agnė Gabrėnienė	12. Imigracija į Lietuvą iš trečiųjų (ne ES) šalių turi būti griežtai ribojama	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	13. Moterys turi turėti teisę laisvai apsispręsti dėl aborto	Greičiau sutinku	"Šalia teisių turėtų būti daug švietimo mokykloje,
psichologinės ir kt. pagalbos į krizes papuolusioms
moterims."
Laisvės partija	Agnė Gabrėnienė	14. Bausmės nusikaltėliams turi būti griežtinamos	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	15. Griežti piliečių laisvių ir teisių suvaržymai (pavyzdžiui, mobiliojo ryšio priemonių sekimas) yra priimtini kovojant su pandemija	Visiškai nesutinku	
Laisvės partija	Agnė Gabrėnienė	16. Valstybinė lietuvių kalbos inspekcija turi būti panaikinta	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	17. Lietuva galėtų pirkti elektrą iš Astravo atominės elektrinės, jeigu ji būtų pigesnė už esamas alternatyvas	Greičiau nesutinku	
Laisvės partija	Agnė Gabrėnienė	18. ES ekonominės sankcijos Rusijai turėtų būti švelninamos, net jei ji toliau nesilaikytų Minsko susitarimų su Ukraina	Visiškai nesutinku	
Laisvės partija	Agnė Gabrėnienė	19. Reikėtų siekti, kad Lietuvos gynybos biudžetas būtų didinamas virš NATO normos ir pasiektų 2,5 proc. BVP	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	20. Lietuvos retorika Rusijos atžvilgiu yra pernelyg agresyvi	Greičiau nesutinku	
Laisvės partija	Agnė Gabrėnienė	21. Reikėtų siekti ekonomiškai naudingo bendradarbiavimo su Baltarusija, net jei ten pažeidinėjamos žmogaus teisės ir laisvės	Greičiau nesutinku	
Laisvės partija	Agnė Gabrėnienė	22. Lietuvoje reikia riboti Rusijos federacijos televizijos kanalų transliacijas	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	23. Lietuva turi remti žmogaus teisių ir demokratijos šalininkus Kinijoje, net jeigu dėl to suprastėtų santykiai su šia šalimi	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	24. Lietuva turėtų palaikyti Lenkiją, nepaisant ES kritikos dėl demokratijos principų pažeidimų	Greičiau nesutinku	
Laisvės partija	Agnė Gabrėnienė	25. Išsiskyrus JAV ir ES lyderių pozicijoms, Lietuva turėtų remti ES pusę	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	26. NATO ir ES valstybių pilietybę įgijusiems Lietuvos piliečiams turėtų būti leista išsaugoti Lietuvos pilietybę	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	27. ES ateityje turėtų judėti gilesnės integracijos link, net jei dėl to mažiau galių turės nacionalinės valdžios institucijos	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	28. Jono Noreikos-Generolo Vėtros atminimo lenta ant Lietuvos mokslų akademijos Vrublevskių bibliotekos sienos turi būti palikta	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	29. Petro Cvirkos paminklas Vilniuje turi būti nukeltas	Greičiau sutinku	
Laisvės partija	Agnė Gabrėnienė	30. Vilniaus savivaldybė turi teisę Lukiškių aikštėje įrengti smėlio paplūdimį, net jei tai nevienareikšmiškai vertinama visuomenėje	Nei taip, nei ne	
Laisvės partija	Agnė Gabrėnienė	31. Tėvai turi galėti laisvai apsispręsti, ar skiepyti savo vaikus, net jei tai keltų grėsmę visuomenės saugumui	Visiškai nesutinku	
Laisvės partija	Agnė Gabrėnienė	32. LR Seimo nariai turi būti renkami proporcine sistema pagal partijų sąrašus	Greičiau sutinku	
